,name,pinyin
742,七台河,qitaihe
743,新兴,xinxing
744,桃山,taoshan
745,茄子河,qiezihe
746,勃利,boli
747,牡丹江,mudanjiang
748,东安,dongan
749,阳明,yangming
750,爱民,aimin
752,林口,linkou
753,绥芬河,suifenhe
754,海林,hailin
755,宁安,ningan
756,穆棱,muling
757,东宁,dongning
758,黑河,heihe
759,爱辉,aihui
760,逊克,xunke
761,孙吴,sunwu
762,北安,beian
763,五大连池,wudalianchi
764,嫩江,nenjiang
765,绥化,suihua
766,北林,beilin
767,望奎,wangkui
768,兰西,lanxi
769,青冈,qinggang
770,庆安,qingan
771,明水,mingshui
772,绥棱,suiling
773,安达,anda
774,肇东,zhaodong
775,海伦,hailun
776,大兴安岭,daxinganling
777,漠河,mohe
778,加格达奇区,jiagedaqiqu
779,呼玛,huma
780,塔河,tahe
781,上海,shanghai
783,上海,huangpu
784,上海,xuhui
785,上海,changning
786,上海,jingan
787,上海,putuo
788,上海,hongkou
789,上海,yangpu
790,上海,minhang
792,上海,jiading
793,上海,pudongxinqu
794,上海,jinshan
795,上海,songjiang
796,上海,qingpu
797,上海,fengxian
798,上海,chongming
799,江苏,jiangsu
800,南京,nanjing
801,玄武,xuanwu
802,秦淮,qinhuai
803,建邺,jianye
804,鼓楼,gulou
805,浦口,pukou
806,栖霞,qixia
807,雨花台,yuhuatai
808,江宁,jiangning
809,六合,luhe
810,溧水,lishui
811,高淳,gaochun
812,无锡,wuxi
813,锡山,xishan
814,惠山,huishan
815,滨湖,binhu
816,梁溪,liangxi
817,新吴,xinwu
818,江阴,jiangyin
819,宜兴,yixing
820,徐州,xuzhou
822,云龙,yunlong
823,贾汪,jiawang
824,泉山,quanshan
825,铜山,tongshan
826,丰县,fengxian
827,沛县,peixian
828,睢宁,suining
829,新沂,xinyi
830,邳州,pizhou
831,常州,changzhou
832,天宁,tianning
833,钟楼,zhonglou
834,新北,xinbei
835,武进,wujin
836,金坛,jintan
837,溧阳,liyang
838,苏州,suzhou
839,苏州,huqiu
840,苏州,wuzhong
841,苏州,xiangcheng
842,苏州,gusu
843,苏州,wujiang
844,苏州,changshu
845,张家港,zhangjiagang
847,太仓,taicang
848,南通,nantong
850,崇川,chongchuan
851,海门,haimen
852,如东,rudong
853,启东,qidong
854,如皋,rugao
855,海安,haian
856,连云港,lianyungang
857,连云,lianyun
859,赣榆,ganyu
860,东海,donghai
861,灌云,guanyun
862,灌南,guannan
863,淮安,huaian
864,淮安区,huaianqu
865,淮阴,huaiyin
866,清江浦,qingjiangpu
867,洪泽,hongze
868,涟水,lianshui
869,盱眙,xuyi
870,金湖,jinhu
871,盐城,yancheng
872,亭湖,tinghu
873,盐都,yandu
874,大丰,dafeng
875,响水,xiangshui
876,滨海,binhai
877,阜宁,funing
878,射阳,sheyang
879,建湖,jianhu
880,东台,dongtai
881,扬州,yangzhou
882,广陵,guangling
883,邗江,hanjiang
884,江都,jiangdu
885,宝应,baoying
886,仪征,yizheng
887,高邮,gaoyou
888,镇江,zhenjiang
889,京口,jingkou
890,润州,runzhou
891,丹徒,dantu
892,丹阳,danyang
893,扬中,yangzhong
894,句容,jurong
895,泰州,taizhou
896,海陵,hailing
897,高港,gaogang
898,姜堰,jiangyan
899,兴化,xinghua
900,靖江,jingjiang
901,泰兴,taixing
902,宿迁,suqian
903,宿城,sucheng
904,宿豫,suyu
905,沭阳,shuyang
906,泗阳,siyang
907,泗洪,sihong
908,浙江,zhejiang
909,杭州,hangzhou
910,上城,shangcheng
911,拱墅,gongshu
912,西湖,xihu
913,滨江,binjiang
914,杭州,xiaoshan
915,余杭,yuhang
916,富阳,fuyang
917,临安,linan
918,临平,linping
919,钱塘,qiantang
920,桐庐,tonglu
921,淳安,chunan
922,建德,jiande
923,宁波,ningbo
924,海曙,haishu
925,江北,jiangbei
926,北仑,beilun
927,镇海,zhenhai
928,鄞州,yinzhou
929,奉化,fenghua
930,象山,xiangshan
931,宁海,ninghai
932,余姚,yuyao
933,慈溪,cixi
934,温州,wenzhou
935,鹿城,lucheng
936,龙湾,longwan
937,瓯海,ouhai
938,洞头,dongtou
939,永嘉,yongjia
940,平阳,pingyang
941,苍南,cangnan
942,文成,wencheng
943,泰顺,taishun
944,瑞安,ruian
945,乐清,yueqing
947,嘉兴,jiaxing
948,南湖,nanhu
949,秀洲,xiuzhou
950,嘉善,jiashan
951,海盐,haiyan
952,海宁,haining
953,平湖,pinghu
954,桐乡,tongxiang
955,湖州,huzhou
956,吴兴,wuxing
957,南浔,nanxun
958,德清,deqing
959,长兴,changxing
960,安吉,anji
961,绍兴,shaoxing
962,越城,yuecheng
963,柯桥,keqiao
964,上虞,shangyu
965,新昌,xinchang
966,诸暨,zhuji
967,嵊州,shengzhou
968,金华,jinhua
969,婺城,wucheng
970,金东,jindong
971,武义,wuyi
972,浦江,pujiang
973,磐安,panan
974,兰溪,lanxi
975,义乌,yiwu
976,东阳,dongyang
977,永康,yongkang
978,衢州,quzhou
979,柯城,kecheng
980,衢江,qujiang
981,常山,changshan
982,开化,kaihua
983,龙游,longyou
984,江山,jiangshan
985,舟山,zhoushan
986,定海,dinghai
988,岱山,daishan
989,嵊泗,shengsi
990,台州,taizhou
991,椒江,jiaojiang
992,黄岩,huangyan
993,路桥,luqiao
994,三门,sanmen
995,天台,tiantai
996,仙居,xianju
997,温岭,wenling
998,临海,linhai
999,玉环,yuhuan
1000,丽水,lishui
1001,莲都,liandu
1002,青田,qingtian
1003,缙云,jinyun
1004,遂昌,suichang
1005,松阳,songyang
1006,云和,yunhe
1007,庆元,qingyuan
1008,景宁,jingning
1009,龙泉,longquan
1010,安徽,anhui
1011,合肥,hefei
1012,瑶海,yaohai
1013,庐阳,luyang
1014,蜀山,shushan
1015,包河,baohe
1016,长丰,changfeng
1017,肥东,feidong
1018,肥西,feixi
1019,庐江,lujiang
1020,巢湖,chaohu
1021,芜湖,wuhu
1022,镜湖,jinghu
1023,鸠江,jiujiang
1024,弋江,yijiang
1025,湾沚,wanzhi
1026,繁昌,fanchang
1027,南陵,nanling
1028,无为,wuwei
1029,蚌埠,bengbu
1030,龙子湖,longzihu
1031,蚌山,bengshan
1032,禹会,yuhui
1033,淮上,huaishang
1034,怀远,huaiyuan
1035,五河,wuhe
1036,固镇,guzhen
1037,淮南,huainan
1039,田家庵,tianjiaan
1040,谢家集,xiejiaji
1041,八公山,bagongshan
1042,潘集,panji
1043,凤台,fengtai
1044,寿县,shouxian
1045,马鞍山,maanshan
1046,花山,huashan
1047,雨山,yushan
1048,博望,bowang
1049,当涂,dangtu
1050,含山,hanshan
1051,和县,hexian
1052,淮北,huaibei
1053,杜集,duji
1054,相山,xiangshan
1055,烈山,lieshan
1056,濉溪,suixi
1057,铜陵,tongling
1058,铜官,tongguan
1059,义安,yian
1061,枞阳,zongyang
1062,安庆,anqing
1063,迎江,yingjiang
1064,大观,daguan
1065,宜秀,yixiu
1066,怀宁,huaining
1067,太湖,taihu
1068,宿松,susong
1069,望江,wangjiang
1070,岳西,yuexi
1071,桐城,tongcheng
1072,潜山,qianshan
1073,黄山,huangshan
1074,屯溪,tunxi
1075,黄山区,huangshanqu
